trial,lider_muerto,nuevo_lider,recuperacion_ms
1,lider=0xfc015b07e66931768d453cf39bc69d4741fe89a2,lider=0xba459db3432e8cf6cd01a149942cd64f053041f8,605
2,lider=0xba459db3432e8cf6cd01a149942cd64f053041f8,lider=0xfc015b07e66931768d453cf39bc69d4741fe89a2,903
3,lider=0xba459db3432e8cf6cd01a149942cd64f053041f8,lider=0xfe9b99fb2c2af5d34d7fe7370b2a4400d0e2d5fd,3703
4,lider=0xfc015b07e66931768d453cf39bc69d4741fe89a2,lider=0xfe9b99fb2c2af5d34d7fe7370b2a4400d0e2d5fd,713
5,lider=0xfc015b07e66931768d453cf39bc69d4741fe89a2,lider=0xba459db3432e8cf6cd01a149942cd64f053041f8,4714
8,lider=0xfe9b99fb2c2af5d34d7fe7370b2a4400d0e2d5fd,lider=0xfc015b07e66931768d453cf39bc69d4741fe89a2,3346
9,lider=0xfc015b07e66931768d453cf39bc69d4741fe89a2,lider=0xba459db3432e8cf6cd01a149942cd64f053041f8,3362
10,lider=0xfe9b99fb2c2af5d34d7fe7370b2a4400d0e2d5fd,lider=0xba459db3432e8cf6cd01a149942cd64f053041f8,3548
11,lider=0xfc015b07e66931768d453cf39bc69d4741fe89a2,lider=0xba459db3432e8cf6cd01a149942cd64f053041f8,1471
12,lider=0xba459db3432e8cf6cd01a149942cd64f053041f8,lider=0xfe9b99fb2c2af5d34d7fe7370b2a4400d0e2d5fd,1396
13,lider=0xba459db3432e8cf6cd01a149942cd64f053041f8,lider=0xfc015b07e66931768d453cf39bc69d4741fe89a2,3309
14,lider=0xba459db3432e8cf6cd01a149942cd64f053041f8,lider=0xfc015b07e66931768d453cf39bc69d4741fe89a2,3855
15,lider=0xfc015b07e66931768d453cf39bc69d4741fe89a2,lider=0xfe9b99fb2c2af5d34d7fe7370b2a4400d0e2d5fd,901
